ACARBOSE;00.923.140/0001-31;EMS SIGMA PHARMA LTDA;531613701110411;1356900350083;7894916513791;;;AGLUCOSE;100 MG COM CT 3 BL AL PVDC LEIT X 10;A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE;Biológicos;Regulado;28,86;28,86;32,79;34,77;34,77;34,98;34,98;35,19;35,19;36,07;39,9;45,33;48,07;48,07;48,36;48,36;48,65;48,65;49,86;Não;Não;Não;Não;;POSITIVA;Sim;Tarja Vermelha
ACARBOSE;00.923.140/0001-31;EMS SIGMA PHARMA LTDA;531613702117411;1356900350032;7894916513807;;;AGLUCOSE;50 MG COM CT 3 BL AL PVDC LEIT X 10;A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE;Biológicos;Regulado;19,02;19,02;21,61;22,91;22,91;23,05;23,05;23,19;23,19;23,77;26,29;29,87;31,67;31,67;31,87;31,87;32,06;32,06;32,86;Não;Não;Não;Não;;POSITIVA;Sim;Tarja Vermelha
ACARBOSE;18.459.628/0001-15;BAYER S.A.;538912050014213;1705600740073;7891106001731;;;GLUCOBAY;50 MG COM CT BL AL/AL X 30;A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE;Biológicos;Regulado;30,19;30,19;34,31;36,38;36,38;36,6;36,6;36,82;36,82;37,74;41,74;47,43;50,29;50,29;50,6;50,6;50,9;50,9;52,17;Não;Não;Não;Não;;POSITIVA;Sim;Tarja Vermelha
ACARBOSE;18.459.628/0001-15;BAYER S.A.;538912050014313;1705600740091;7891106001748;;;GLUCOBAY;100 MG COM CT BL AL/AL X 30;A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE;Biológicos;Regulado;45,07;45,07;51,21;54,3;54,3;54,63;54,63;54,96;54,96;56,33;62,31;70,79;75,07;75,07;75,52;75,52;75,98;75,98;77,87;Não;Não;Não;Não;;POSITIVA;Sim;Tarja Vermelha
ACEBROFILINA;02.814.497/0001-07;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;506409801136113;1438101310011;7896523209111;;;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;R05C0 - EXPECTORANTES;Genérico;Regulado;16,84;16,84;19,14;20,29;20,29;20,42;20,42;20,54;20,54;21,05;23,28;26,46;28,05;28,05;28,23;28,23;28,4;28,4;29,1;Não;Não;Não;Não;;POSITIVA;Sim;Tarja Vermelha
ACEBROFILINA;02.814.497/0001-07;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;506409802132111;1438101310021;7896523209128;;;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;R05C0 - EXPECTORANTES;Genérico;Regulado;12,14;12,14;13,79;14,62;14,62;14,71;14,71;14,8;14,8;15,17;16,78;19,06;20,21;20,21;20,34;20,34;20,46;20,46;20,97;Não;Não;Não;Não;;POSITIVA;Sim;Tarja Vermelha
ACEBROFILINA;03.485.572/0001-04;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;510413301132119;1542301230016;7899095233027;;;ACEBROFILINA;10MG/ML XPE CT FR VD AMB X 120ML + CP MED;R05C0 - EXPECTORANTES;Genérico;Regulado;19,95;19,95;22,67;24,04;24,04;24,18;24,18;24,33;24,33;24,94;27,58;31,34;33,23;33,23;33,43;33,43;33,63;33,63;34,48;Não;Não;Não;Não;;POSITIVA;Sim;Tarja Vermelha
ACEBROFILINA;03.485.572/0001-04;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;510413302139117;1542301230032;7899095233034;;;ACEBROFILINA;5MG/ML XPE CT FR VD AMB X 120ML + CP MED;R05C0 - EXPECTORANTES;Genérico;Regulado;13,49;13,49;15,33;16,25;16,25;16,35;16,35;16,45;16,45;16,86;18,65;21,19;22,46;22,46;22,6;22,6;22,74;22,74;23,31;Não;Não;Não;Não;;POSITIVA;Sim;Tarja Vermelha
ACEBROFILINA;03.485.572/0001-04;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;510413401137414;1542301160034;7899095203600;;;BRONTEK;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;R05C0 - EXPECTORANTES;Similar;Regulado;17,66;17,66;20,07;21,28;21,28;21,41;21,41;21,54;21,54;22,08;24,41;27,75;29,42;29,42;29,6;29,6;29,78;29,78;30,52;Não;Não;Não;Não;;POSITIVA;Sim;Tarja Vermelha
ACEBROFILINA;03.485.572/0001-04;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;510413402133412;1542301160018;7899095203594;;;BRONTEK;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;R05C0 - EXPECTORANTES;Similar;Regulado;24,61;24,61;27,96;29,65;29,65;29,83;29,83;30,01;30,01;30,76;34,02;38,65;40,99;40,99;41,24;41,24;41,49;41,49;42,52;Não;Não;Não;Não;;POSITIVA;Sim;Tarja Vermelha
ACEBROFILINA;05.044.984/0001-26;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;538808901132413;1677301840018;7896004767727;;;BRONCOLEX;5 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED X 10 ML;R05C0 - EXPECTORANTES;Similar;Regulado;13,38;13,38;15,21;16,12;16,12;16,22;16,22;16,32;16,32;16,73;18,5;21,03;22,28;22,28;22,42;22,42;22,56;22,56;23,13;Não;Não;Não;Não;;POSITIVA;Sim;Tarja Vermelha
ACEBROFILINA;05.044.984/0001-26;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;538808902139411;1677301840026;7896004767710;;;BRONCOLEX;10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML;R05C0 - EXPECTORANTES;Similar;Regulado;18,22;18,22;20,7;21,95;21,95;22,09;22,09;22,22;22,22;22,78;25,19;28,62;30,34;30,34;30,54;30,54;30,72;30,72;31,49;Não;Não;Não;Não;;POSITIVA;Sim;Tarja Vermelha
ACEBROFILINA;05.044.984/0001-26;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;538820101132116;1677303210011;7894916340922;;;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;R05C0 - EXPECTORANTES;Genérico;Regulado;13,5;13,5;15,34;16,26;16,26;16,36;16,36;16,46;16,46;16,87;18,66;21,21;22,48;22,48;22,62;22,62;22,75;22,75;23,32;Não;Não;Não;Não;;POSITIVA;Sim;Tarja Vermelha
ACEBROFILINA;05.044.984/0001-26;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;538820102139114;1677303210021;7894916340915;;;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;R05C0 - EXPECTORANTES;Genérico;Regulado;17,44;17,44;19,82;21,01;21,01;21,14;21,14;21,27;21,27;21,8;24,11;27,4;29,05;29,05;29,22;29,22;29,4;29,4;30,14;Não;Não;Não;Não;;POSITIVA;Sim;Tarja Vermelha
ACEBROFILINA;05.161.069/0001-10;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;504617090065618;1558403980037;7896714214146;;;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + COP;R05C0 - EXPECTORANTES;Genérico;Regulado;17,2;17,2;19,55;20,73;20,73;20,85;20,85;20,98;20,98;21,5;23,78;27,03;28,66;28,66;28,82;28,82;29;29;29,72;Não;Não;Não;Não;;POSITIVA;Sim;Tarja Vermelha
